token,title,rent/sell,apartment/house,category,register_data,description,province,city,district,price,credit,rent,business-type,image,build_date,room,meterage,location,elevator,parking,storage,unitpf,tabaghe,sanad,jahat,vaziat,balkon,wc,jenskaff,cooler,heater,tamin_hot_water
434443379,آپارتمان نوساز خونه 75متر ساری مسکن مهر شهرک سارویه - شیپور,sell,apartment,خرید و فروش خانه و آپارتمان,,طبقه ملک: 2  آپارتمان نوساز 8طبقه 32واحد طبقه دوم 75 متر روبه نما تجهیز شده 2خواب کمددیواری آشپزخانه کابینت ام دی اف کف کامل سرامیک تراس بالکن دارد انباری .. ,مازندران,ساری,جاده جویبار,1100000000,,,,"['https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_e35c912e3ec656413520c82702585187.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_e5b2424fe9344cccb650834933081b04.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_c1a51cef22a70d9aeb99c2bd0577b121.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_a85154c6c162380828e5989a968fa02f.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_8ff60a9517740b50d5769ae85e7509ef.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_8fcb424539b66b94442d94400b3bbc3d.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_20650972ffb72909040a1936629a0587.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_33284b678fb62f3e9e382d4d6968eae2.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_443e91fc6ba7529237afd3baeac888cc.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_46064069bba99bd7ce16e719cc866623.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_7a010e197d22cfef090b8ed092df6109.webp', 'https://cdn.sheypoor.com/imgs/2023/12/05/434443379/666x416_Sw/434443379_7f4ec82a16027447aa2f8e9e690934cd.webp']",1400,2,75,"{'longitude': 52.98568725585937, 'latitude': 36.574870341113865}",دارد,دارد,دارد,,,,,,,,,,,
428324549,فروش آپارتمان 75 متر در بلوار ذوالفقاری - شیپور,sell,apartment,خرید و فروش خانه و آپارتمان,,طبقه ملک: 1  ((برای مشاوره و خرید و فروش ملک های خود با ما تماس بگیرید))  مشخصات آپارتمان::    سند: تک برگ    متراژ بنا: 78  2خواب   طبقه اول  مسکن مهر باقرتنگه,مازندران,بابلسر,بلوار ذوالفقاری,1600000000,,,,"['https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_ef833dddb2a8999ba5da8da4b6bc46d3.webp', 'https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_80c737f763e0128d9f30fa572d00704b.webp', 'https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_118df28e6bff7b76146834e1fc5eba61.webp', 'https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_898d51665ea93cd483490a0e101b0a8d.webp', 'https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_02c5c95cf37925ab9927dd37ce48dc27.webp', 'https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_21db60659064f0cf8a85e2776ed708dc.webp', 'https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_f0f83a392fed94cf971548df2d3bd0d5.webp', 'https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_56991bb87226c3fa2eb60b366e48c849.webp', 'https://cdn.sheypoor.com/imgs/2023/07/09/428324549/666x416_Sw/428324549_17601bcbaae8955410345e151d7219a4.webp']",1390,2,75,"{'longitude': 52.6778984069, 'latitude': 36.7070657988}",ندارد,دارد,دارد,,,,,,,,,,,
441982356,95 متری نوساز روبه نما تاپ لوکیشن ابتدای فاز - شیپور,sell,apartment,خرید و فروش خانه و آپارتمان,,طبقه ملک: 3  آپارتمان نوساز  آسانسور  پارکینگ  تاپ لوکیشن  نورگیر  فول امکانات  نورگیر عالی  ابتدای فاز  جهت کسب اطلاعات بیشتر تماس حاصل فرمایید  مشاور ملکی شما,استان تهران,اندیشه,فاز 1,3500000000,,,,"['https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_d76cf481ff46f6b0e4ce28f08403646c.webp', 'https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_8b2898b9bc725a513c94a6a32a8ffbe1.webp', 'https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_bcebcb4fa0476d13651cc2f37b3c52cc.webp', 'https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_ef50d3ddd3c09a925664feb3532fd2ea.webp', 'https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_9e2a03bc185956f44d98c8653aa2d700.webp', 'https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_a095cb4f38c39a4908d17bdc35f59338.webp', 'https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_b2f89303d4b1b8b09f83a686d39510c3.webp', 'https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_b14aa4d3125e47760b6398e958fd38d0.webp', 'https://cdn.sheypoor.com/imgs/2024/07/05/441982356/666x416_Sw/441982356_03411b8592cd80c4e9cb4c20f36a880c.webp']",1403,2,95,"{'longitude': 51.01917296615895, 'latitude': 35.68274874430429}",دارد,دارد,دارد,,,,,,,,,,,
418566483,فروش ویلا 190 متر در بلوار ذوالفقاری - شیپور,sell,house,خرید و فروش ویلا,, ((برای مشاوره و خرید و فروش ملک های خود با ما تماس بگیرید)) مشخصات ویلا::   سند: شش دانگ   متراژ  زمین: 190متر   متراژ بنا: 140  توضیحات:  دو خواب،گرمایشی پکیج,مازندران,بابلسر,بلوار ذوالفقاری,3700000000,,,,"['https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_2f7fb58734ad14898d250bd44c785690.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_759d691dacf3f6bfdc43aa4ecd915e16.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_8106c8a2440c17760a8d73583302fe0a.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_e6d6e23ba4f73b30442f0163b21a8483.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_ef26e7b9d386d546e9f96b4c8164c0f0.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_2063b604a73cdde2274402be2fcad574.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_906b567b4db0f3314217b3aaa50f5870.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_3c781fb4a731f4bf15f4ff3a6348fb16.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_40ba0412916c2239a53c239507b043ea.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_47e7055eb54964fbc004cb75e03cecd6.webp', 'https://cdn.sheypoor.com/imgs/2022/12/12/418566483/666x416_Sw/418566483_50996b69dfaa922a3ffe329ea32329fe.webp']",1395,2,190,"{'longitude': 52.6778984069, 'latitude': 36.7070657988}",,دارد,دارد,,,,,,,,,,,
414732722,فروش ویلا 540متر در باقرتنگه - شیپور,sell,house,خرید و فروش ویلا,,نمای ساختمان: سنگی، سرامیکی آشپزخانه: گاز رومیزی، سینک دوقلو، هود، اپن کابینت: MDF کفپوش: سرامیک سیستم گرمایشی و سرمایشی: پکیج، رادیاتور امکانات امنیتی: درب ضد ,مازندران,بابلسر,باقرتنگه,6500000000,,,,"['https://cdn.sheypoor.com/imgs/2022/09/18/414732722/666x416_Sw/414732722_59477c6f914cdbfe55e9e6950ee2303d.webp', 'https://cdn.sheypoor.com/imgs/2022/09/18/414732722/666x416_Sw/414732722_effac85f0b4d3f2596fe1738b477bcca.webp', 'https://cdn.sheypoor.com/imgs/2022/09/18/414732722/666x416_Sw/414732722_2df47fd7f206edf452849a314c361971.webp', 'https://cdn.sheypoor.com/imgs/2022/09/18/414732722/666x416_Sw/414732722_65e38310cb522b0e0e37ccb0c293bc63.webp', 'https://cdn.sheypoor.com/imgs/2022/09/18/414732722/666x416_Sw/414732722_4b07938dad3803419b5a4045f93e109f.webp', 'https://cdn.sheypoor.com/imgs/2022/09/18/414732722/666x416_Sw/414732722_fb346efd20c1d81cc15036370b624d78.webp', 'https://cdn.sheypoor.com/imgs/2022/09/18/414732722/666x416_Sw/414732722_bc4948753527d58c5aaa03ecf7662ac2.webp', 'https://cdn.sheypoor.com/imgs/2022/09/18/414732722/666x416_Sw/414732722_1d39956c5a337eb050e3d43e6b9d5b76.webp']",1390,4,540,"{'longitude': 52.710599899291985, 'latitude': 36.707169014703126}",,دارد,دارد,,,,,,,,,,,
414362007,فروش زمین37متر در بهشتی - شیپور,زمین و باغ,زمین و باغ,زمین و باغ,,مشخصات زمین:   متراژ زمین: 37  نوع سند: تک برگ  کاریری: تجاری مسکونی  توضیحات:   4 متر بر اصلی بهشتی ،مناسب برای سرمایه گذاری..  آدرس دفتر:  بابلسر، خیابان ,مازندران,بابلسر,بهشتی,,,,,['https://cdn.sheypoor.com/imgs/2022/09/10/414362007/666x416_Sw/414362007_d4bb31f40f90e28032b75c8079f8aac0.webp'],,,۳۷,"{'longitude': 52.66047477722167, 'latitude': 36.70176719772208}",,,,,,,,,,,,,,
438919237,ویلا فلت با سند تک برگ برجاده دریا زیباکنار 210 متر  - شیپور,sell,house,خرید و فروش ویلا,,وضعیت سکونت: تخلیه نوع سند: شخصی متراژ زمین: 210 نمای ساختمان: سنگی آشپزخانه: سینک دوقلو، هود، گاز رومیزی، اپن کابینت: MDF کفپوش: موزاییک سیستم گرمایشی و ,گیلان,زیباکنار,مرکز شهر,3900000000,,,,"['https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_c4048496f372cf5542cf34ae31f01b0c.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_887a9b42616826837874f1809f33009f.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_1f887299b244ac6291651355e6c86997.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_ac00a294e8aa66fd0df06dc28edc3fb1.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_971cd1ed78f62b9c0005cef30b892528.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_bf909e7a4383c37f69998ab551005655.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_b9058ffa4a71456647109ed3ad0dfa12.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_ef19b05dea917cb7062623fb286d8a64.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_7361424fc25eb63baff0ccc61e700ec9.webp', 'https://cdn.sheypoor.com/imgs/2024/04/09/438919237/666x416_Sw/438919237_7eb4ffe6f48910b927164e841bff8e4a.webp']",1400,2,210,"{'longitude': 49.876556396484375, 'latitude': 37.434385644791455}",,دارد,دارد,,,,,,,,,,,
434376661,فروش آپارتمان 197 متر در قیطریه/فول امکانات - شیپور,sell,apartment,خرید و فروش خانه و آپارتمان,,مشخصه ملک: برج نوع سند: شخصی تعداد طبقات: 11 وضعیت سکونت: تخلیه تعداد پارکینگ: ۱ طبقه ملک: 1 نمای ساختمان: سنگی، سیمانی آشپزخانه: سینک دوقلو، گاز رومیزی، جزیره,استان تهران,تهران,قیطریه,59100000000,,,,"['https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_126bf551e0ec3224de5b095d2f0cb640.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_efa751a3fd8ebf422da08a8f2e0da496.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_5ac573395fb4a2323a02ee36e8ced459.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_2aa8c81f869b487596e9dc0686e9ebe0.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_db8e0216a195ed386a12c8f50bf9da76.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_398b907abdf1da860f0c5b040e4ae2e1.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_6dcd3d38f74469d887f0c99d5fa19b08.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_4b5ee7474f270341614166d369509cac.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_46c677a5568ad031dad9764e42d48e8e.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_a3791dcd66580c670a9c1e3a5f0422d0.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_d288b6383eb1e5228f1b09229bd183b8.webp', 'https://cdn.sheypoor.com/imgs/2023/12/03/434376661/666x416_Sw/434376661_f09008cb0d3781e530947da92ed5a456.webp']",1401,3,197,"{'longitude': 51.443893, 'latitude': 35.791102}",دارد,دارد,دارد,,,,,,,,,,,
443261691,اجاره آپارتمان تک واحد 105 متر در امام رضا ک برند - شیپور,rent,apartment,رهن و اجاره خانه و آپارتمان,,تعداد طبقات: 4 تعداد واحد در طبقه: 1 وضعیت سکونت: مستأجر تعداد پارکینگ: ۱ طبقه ملک: 3 نمای ساختمان: سنگی آشپزخانه: اپن، هود، سینک دوقلو، نورگیر سقفی کابینت: MDF,مازندران,آمل,امام رضا,,"100,000,000","14,000,000",,"['https://cdn.sheypoor.com/imgs/2024/08/13/443261691/666x416_Sw/443261691_b04584b7ddd66acd98bb5e63feb3ecaf.webp', 'https://cdn.sheypoor.com/imgs/2024/08/13/443261691/666x416_Sw/443261691_b0f6532285ab0dba2f88cb907bad0544.webp', 'https://cdn.sheypoor.com/imgs/2024/08/13/443261691/666x416_Sw/443261691_3ce9efe33c7a4f67d806a40f24a5d0c1.webp', 'https://cdn.sheypoor.com/imgs/2024/08/13/443261691/666x416_Sw/443261691_bc323c27f5c533e567722cc146271239.webp', 'https://cdn.sheypoor.com/imgs/2024/08/13/443261691/666x416_Sw/443261691_6acab8a14600cacd49f7a2ab203b4dec.webp']",1397,2,105,"{'longitude': 52.364015579223, 'latitude': 36.468370938953}",دارد,دارد,دارد,,,,,,,,,,,
398992967,آپارتمان 46 متر در اندیشه - شیپور,sell,apartment,خرید و فروش خانه و آپارتمان,,طبقه ملک: 3  46متری/طبقه سوم خوش نقشه و شیک  سندتک برگ 6دانگ  پارکینگ مشاع   انباری سندی  کابینت ممبران  پوستر/کاغذ دیواری کناف/ نور مخفی گاز رومیزی/ هود  واحد ,استان تهران,اندیشه,,1170000000,,,,"['https://cdn.sheypoor.com/imgs/2023/12/08/398992967/666x416_Sw/398992967_92674c6edf22ac67830f0d048d6cdfcb.webp', 'https://cdn.sheypoor.com/imgs/2023/12/08/398992967/666x416_Sw/398992967_6bec04a52e1c2337392852cc24d00563.webp', 'https://cdn.sheypoor.com/imgs/2023/12/08/398992967/666x416_Sw/398992967_b64195d78beacb22dd4851d5f9d28a66.webp', 'https://cdn.sheypoor.com/imgs/2023/12/08/398992967/666x416_Sw/398992967_0e273aa60e8d558b40e5dab06748ebc4.webp']",1390,1,46,"{'longitude': 51.0227582, 'latitude': 35.7078279}",ندارد,دارد,دارد,,,,,,,,,,,
