token,title,rent/sell,apartment/house,category,register_data,description,city,district,price,credit,rent,business-type,image,build_date,room,meterage,location,elevator,parking,storage,unitpf,tabaghe,sanad,jahat,vaziat,balkon,wc,jenskaff,cooler,heater,tamin_hot_water
AZ0yA6qD,ویلائی سه طبقه آپادانا,residential-sell,house-villa-sell,house-villa-sell,09-8-2024,ویلائی سه طبقه آپادانا|فروش خانه و ویلا|اصفهان، مشتاق|خرید و فروش هرطبقه سندمجزا، گذر۱۰متری، نزدیک چهارراه، نقدی یامعاوضه باویلائی تا۹| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار,isfahan,moshtaghsevvom,16999999488,0,0,real-estate-business,"['https://s100.divarcdn.com/static/photo/afra/post/n4P1FrooD2hReQ86-Bl-FQ/47d268ec-a13c-47fb-ab04-b61009df547e.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/ptwAUsWk2SZoDV0GvHh5bQ/37e46099-e62e-4733-9a9b-fcb33054fe41.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/yStmJG3jLBrEBaAYQ08cKQ/a6528e85-d10d-47f1-b2e6-0f7e3fa64f32.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/RKYygMuCkpa90ziGSTiQAQ/b61010c0-22eb-4c85-8b82-4782bb41a05c.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/SOMGJPp83qClS9aVKwFYaA/9ed052bc-1371-421d-a172-2c338330ff7d.jpg']",1387,4,280,"{'latitude': 32.6368, 'longitude': 51.69592}",,دارد,دارد,,,تک‌برگ,جنوبی,بازسازی شده,دارد,ایرانی و فرنگی,سرامیک,کولر آبی,شوفاژ,پکیج
AZgtK5D9,باغ ویلا با استخر آبگرم سرپوشیده,temporary-rent,villa,villa,06-8-2024,"باغ ویلا با استخر آبگرم سرپوشیده|اجارهٔ کوتاه مدت ویلا و باغ|فردیس|خرید و فروش با درود

باغ ویلا با استخر آبگرم سرپوشیده 
واقع در منطقه خوش آب و هوای خوشنام 

بسیار شیک و مدرن 
شخصی ساز و شخصی مبله

۱۲۰۰ متر مساحت با درختان سرسبز 
۱۸۰ متر زیر بنا با سه خواب مستر و سوئیت مجزا 

اجاره مستقیم از مالک 
 امکان بازدید قبل از رزرو| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار",fardis-city,,0,0,0,personal,"['https://s100.divarcdn.com/static/videos/thumbnails/7ee6643c-d904-4fbb-a13b-dab54d406575.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/iYiUdP6Tr-CaY_TaGuD4Vg/a7208a8f-130b-4b32-94e3-3eec615bdc35.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/mCv-rkjkHOk1VeMo48WvQA/6c5e63fc-ddc8-435b-be0d-3b761c4c8c6d.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/i_8TiTKlhXqUC5-SW1lJ4w/863c3684-59a0-495b-a851-e48f1e950f06.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/uI3ti1Uw3v-SiQXNwkG6OA/890de3b2-4e5d-4687-8c62-b1d98c827ac7.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/PXA1zxbWYirr6gzD2R5VzA/37ced4f9-43ff-4a95-895f-46489ed65e77.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/HSkP7knjoNNHA5Pjc1PNPg/66537b20-3489-4302-beae-0e89e9057358.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/yKWrn61wuf3naTzI2So01w/11a66646-361c-479d-8073-7198638d0077.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/Dhaa1XldVnIfXf91JTucGQ/cbfa9c31-a070-4896-ba16-f521cf419879.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/5KzL2KiUtYfKA-rq2wHI5g/5e6a3099-5a97-4c3c-80b2-5b01db77cf9e.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/hQlw1daPsWUvyFjH3WKFtw/16ce1dbd-fc24-44e1-89bd-0fdcad6ab44e.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/EV8Y11ZrHw9WXhaHOE15xg/060d088f-67d4-4864-970e-0db20ddbd7e2.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/YRklVpxdQE-dI0yK6b9VbQ/c3827884-64d8-4cfd-8bc6-6aca7861c1ab.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/eBkp_ovi-y55epiIaIgYEg/fb90b74b-406f-42ff-82ee-985b74915825.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/YB5xv3xxhyssyf3hx5KL5g/5d4c42c4-a31f-406b-a447-7a41df78d727.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/RWYP3aIZrEE4DBG5-KxhYw/8f09b050-c1f5-4b9c-8d8b-3835803bd367.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/TG8VfKxuIMkmGiBlM8CAKQ/c7ee60f4-29b7-4d37-8eee-f7e5368c2aea.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/t8ubKo3dReCoUqglhsxA6w/769c7392-2363-4794-9538-ee3b6297653b.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/GxwPVzJkFoVVU4d0ExSSVg/3a08df67-a4a4-4752-8678-981146e7a5b3.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/qt4-wA4J6GVW6k60Pvidtw/db0447f9-d71f-4250-95f0-48500b514232.jpg']",,3,1200,,,,,,,,,,,,,,,
AZiq2E-E,ویلاباغ با استخر آبگرم داخل شهر(مالک هستم),temporary-rent,villa,villa,27-7-2024,"ویلاباغ با استخر آبگرم داخل شهر(مالک هستم)|اجارهٔ کوتاه مدت ویلا و باغ|شیراز، تاچارا|خرید و فروش رزرو مستقیم از مالک
تصاویر مربوط به همین ویلا می باشد
تا تعداد ۴نفر
شنبه تا چهارشنبه ۳ت
پنجشنبه ها ۵ت
جمعه ها ۴/۵ت
به ازای هر نفر مازاد بر ۴ نفر ۳۰۰ ت به قیمت های بالا اضافه میگردد.
داخل شهر شیراز
(تا پل معالی آباد ۵دقیقه)
ویلای دوخوابه در باغ ۱۵۰۰ متری
(یک خواب مستر)
مناسب سالمندان (بدون پله)
استخر آبگرم و ذلال و تصفیه ۲۴ ساعته
۳ سرویس فرنگی و حمام
 ۱ سرویس ایرانی
آلاچیق و باربیکیو ذغالی 
تعویض ملحفه یک بار مصرف قبل از ورود هر مهمان| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار",shiraz,tachara,0,0,0,personal,"['https://s100.divarcdn.com/static/videos/thumbnails/2827f905-8b39-40fb-bd06-69003125561c.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/1xgl2egT7D0yfJeOu46Ekw/de1ed285-4c18-45ed-b6f0-3d4e0530ab84.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/C5acQiZRetPHDyeHNhsw6Q/44667021-205f-40ba-9b4c-e37e5e3685d2.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/5P015kgsFFs5jON0TApTjA/3e3a89b1-926d-4834-ba85-cdf47ad5c7d7.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/c9n3M5L7rUlqOTOQ3k6fBQ/1ce1b7ff-ab8b-4707-be7f-42935c34c10f.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/5icIsoQ8HJUgCpq6pQfl0Q/f2f8e47b-b612-4019-870f-3f00302a2edb.jpg', 'https://s100.divarcdn.com/static/photo/neda/post/nnFlrcAtJ6SVROlFvDOIeA/920f7873-29b0-46fb-bcff-31135ce52810.jpg', 'https://s100.divarcdn.com/static/photo/neda/post/2ixnkZOf0UkRKFm9iBiQqQ/a04c6803-9b9c-44ef-9891-dbfe292acdf7.jpg', 'https://s100.divarcdn.com/static/photo/neda/post/XbXylzML-NNhc6IfYtnzxg/fb986790-e425-4d55-a6b2-cea45a2dbe4f.jpg']",,2,1500,"{'latitude': 29.692613978299956, 'longitude': 52.467841055002964}",,,,,,,,,,,,,,
AZrW94og,آپارتمان مبله دربست مسافر بوشهر,temporary-rent,suite-apartment,suite-apartment,03-8-2024,"آپارتمان مبله دربست مسافر بوشهر|اجارهٔ کوتاه مدت آپارتمان و سوئیت|بوشهر|خرید و فروش آپارتمان دربست با امکانات کامل جهت اقامت مسافرین محترم آماده تحویل با کولر اسپیلیت و تلویزیون ال ای دی و پارکینگ مسقف و آسانسور
با دسترسی راحت بر خیابان اصلی مرکز شهر بوشهر
نزدیک به ساحل
نزدیک به بازار
موقعیت عالی امنیت بالا| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار",bushehr,,0,0,0,personal,"['https://s100.divarcdn.com/static/photo/afra/post/k9MojqkJA8EUkzXxShsK8g/29063da8-9cf5-4923-96b2-d2d336f77f52.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/OnPkIlaqR1rk-y69FBAdsQ/7268af9c-b67c-4a75-a620-959a5df1ee06.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/8J7eMO-wMw59hBkngKKS2Q/560744c9-2e87-4119-8aab-b53c74dff190.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/7An1LYkb_DQSii6O_MIGDA/df19a68d-e0d3-40c8-a2b3-21f4ec160791.jpg']",,2,50,,,,,,,,,,,,,,,
AZU7NI3I,باغ و ویلا اجاره ای نفیس۵,temporary-rent,villa,villa,04-8-2024,"باغ و ویلا اجاره ای نفیس۵|اجارهٔ کوتاه مدت ویلا و باغ|مشهد، بلوار توس|خرید و فروش لطفا تماس بگیرید
هنگام تماس اعلام کنید برای نفیس۵ تماس گرفتین.
۴۰۰متر عرصه
۱۰۰متر بنا صفر و نوساز
۱خواب
حمام مستر
سرویس ایرانی و فرنگی
استخر سرپوشیده آب گرم _ تسویه دائم
جهت اجاره روزانه و ماهیانه
لطفا تماس _ مستقیم با مالک

باتشکر از عوامل دیوار| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار",mashhad,bolvartoos,0,0,0,personal,"['https://s100.divarcdn.com/static/photo/neda/post/unSK1JzB4iEE7dpY8wAn_w/cab3ffd6-d36e-434b-9eba-765d547adf46.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/QNYxyGlTkkeJ2yqRRyUoZQ/5267038c-6ee1-4a32-bfc0-6697327ae741.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/9rfIA3fv79U45tuYHbUBgw/01e31655-d0f2-4fd8-88e9-b317333d2def.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/VEcFv0j_fplhHvWdXYvRxw/04575d9b-deb6-467d-89c3-c8a7aa32674b.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/7q3mCC7YjqH_cEvI3w79oQ/a60cde71-a120-4f7b-9538-ad5b4a8e3681.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/8vaIRYdb9ulR2iGwzG_U6w/22f1d537-b5e4-49ee-92c4-6ac899a36da8.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/Cus_DuJTgCROd2csGqSnpQ/3763839f-9738-465e-b1db-bff85f315e41.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/-gRtb4qsifV8NK6zMSe_BA/099b0f5f-f5cc-4384-b8fb-6c2b39f88939.jpg', 'https://s100.divarcdn.com/static/photo/neda/post/Tss1E5I3ieRcRWPh55LrdQ/c20b2f75-b2a6-4700-9b83-9dd7c10129d4.jpg', 'https://s100.divarcdn.com/static/photo/neda/post/8WR6Mg0PomeO_Gj5P_Azyg/1f0625c2-36d6-4e2c-9777-9bed31d4c306.jpg']",,1,400,,,,,,,,,,,,,,,
gYNiwN78,اجاره منزل سوئیت مبله سوییت روزانه هتل آپارتمان,temporary-rent,suite-apartment,suite-apartment,11-8-2024,"اجاره منزل سوئیت مبله سوییت روزانه هتل آپارتمان|اجارهٔ کوتاه مدت آپارتمان و سوئیت|شیراز، زند|خرید و فروش اقامتگاه با بهترین خدمات در خدمت شماست. موقعیت مکانی خوب و دسترسی آسان و سریع به مناطق باستانی، گردشگری و پزشکی از امتیازات این اقامتگاه می‌باشد.

_قیمت های مناسب 
_ دارای سوییت
_ دارای واحدهای یک‌ خوابه

امکانات اقامتگاه:
_ آشپزخانه با امکانات رفاهی شامل اجاق‌گاز، یخچال، فریزر و لوازم آشپزی
_ اتاق پذیرایی دارای مبلمان و تلویزیون 
_ سیستم‌ سرمایشی اسپیلت و گرمایشی بخاری گازی 
_ پارکینگ عمومی شبانه‌روزی نگهباندار 

_ دسترسی اقامتگاه به اماکن‌ تفریحی، رفاهی و خدماتی
_ فاصله تا سوپرمارکت و نانوایی ۲ دقیقه پیاده
_ فاصله از حرم شاهچراغ کمتر از ۵ دقیقه پیاده
_ فاصله از بازار وکیل کمتر از ۱۰ دقیقه پیاده
_ فاصله از آرامگاه حافظ کمتر از ۱۰ دقیقه
_ فاصله از آرامگاه سعدی کمتر از ۱۰ دقیقه
_ فاصله از باغ ارم و باغ جهان‌نما کمتر از ۱۵ دقیقه
_ فاصله از نارنجستان قوام و خانه زینت‌الملوک کمتر از ۵ دقیقه پیاده
_دارای نگهبان و دوربین مداربسته
خیابان آستانه مجاور حرم و مراکز گردشگری| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار",shiraz,zand,0,0,0,personal,"['https://s100.divarcdn.com/static/photo/afra/post/iElzzLGTE7jSmLzdaxvPMA/a2ecb17f-80a4-43b3-97c9-9b8cc8af5177.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/T29Av_gcqMY2WT9K-ck5tA/a09b45b4-d0e7-43d5-99c1-371a893d40af.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/_SlhVIhvj00caY-uhRUHng/7ecaf771-a7e3-4994-bafd-7d051939716c.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/cyJMEHHQRqUMK5qo3ZhIPg/d814ce87-fe14-4866-8aee-bffaf9f41d4d.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/CyLnoiJSxtL0yHAhaIcrZw/47a983ee-9a8a-4136-aaca-93da54fd82dc.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/beDLI74PmVuINeV1XLkysA/57b3b589-e043-43c6-9c5a-953b62c23245.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/-oBRDK2xppAliXw2ICb3Dg/69a6a611-5f7a-4af3-a8e2-d5c35320d6db.jpg']",,2,70,"{'latitude': 29.618876658174873, 'longitude': 52.54132673332108}",,,,,,,,,,,,,,
gYqK-gUX,اجاره اپارتمان لب دریا دوخوابه,temporary-rent,suite-apartment,suite-apartment,04-8-2024,"اجاره اپارتمان لب دریا دوخوابه|اجارهٔ کوتاه مدت آپارتمان و سوئیت|نوشهر|خرید و فروش اپارتمان ساحلی دید دریا و جنگل 
محوطه حیاط ۲۰۰۰ متر 
الاچیق و باربیکیو
پارکینگ 
ساحل ماسه ای خصوصی
سرویس ایرانی و فرنگی
فقط خانواده تماس بگیر ممنون| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار",nowshahr,,0,0,0,personal,"['https://s100.divarcdn.com/static/photo/afra/post/9J7uLkQ06DFysVq3mHq5BQ/1ac40f8e-fad5-4363-8385-b44359008a06.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/CsEqT5M8YHl96QkYhjh3Pg/ce1a1497-7fdc-4adb-a899-0cafaba75258.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/WZ4NicSpQq6Kz2i6HpTB9A/0cda7775-1163-40f0-aae1-5843a5b402f8.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/iXCgzP8AaTB7l80qTAS78w/754a5c02-c2cd-438f-9f96-c54f23de9a95.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/12qoIFuGQphLRX95Vg2boA/04fcef7e-6ceb-429f-8b37-cae469ea42a5.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/GDOptJXSW2jWTuogEeI1tQ/b235a018-0d8f-46f5-a2aa-8137bcc0b5fc.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/XmVpm_krzcWdikyZlD1mQw/0ce77c98-70ef-4e72-a48f-bab695772b27.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/7jr6ooVb13YQNl_yRncr2w/08d4f276-da04-449b-a442-c2258f8a05f3.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/piHCDOmL7wtV7NBHi2pSbQ/f48951d5-e1e3-474c-84ad-d2c29efd5ec5.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/fJedMx-gwPgYtC3bSOVWyA/d79087d0-a8eb-42ca-a298-357f952520a1.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/hHNKj-CQFdFBafCHsHtXwg/defd7cd1-7730-4d81-bd78-453e0bf355cb.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/s_c0RGbpZ_6QFy6F1H4SHw/894c5ed9-72c6-4d93-b764-e79129f3c345.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/UFnjgnwchSQ6o1fwOloDHg/03e9692b-83db-49cd-b1f8-50f36d959567.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/naUzRkyfZYwT175bvc6x-Q/0fae8088-b1cd-4a3e-b842-db08f6ccbe33.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/K9Ym5wsRu8F1ABlObdmOzw/29425d61-962f-4297-ae1d-42e87207b775.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/FP0ORZG_KlMjkISdx1dLNg/16e7b828-12ce-471f-8bd6-2931a526549a.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/bcZkMJ9324ZTTxniAbA2vQ/8982cd64-5a2c-45f9-80af-418ba2f8b791.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/V_hXEt3ujhY9QgRSatAKzA/9f0e370b-a283-4568-892f-9c855dab2c18.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/S28m8ELlEP-Q2dvYowl-YQ/3085b047-0abc-42d1-9ac0-194d28ec396d.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/7S7D_gwcTF0msTJtJ-CKoQ/74598aa5-fa5d-4f8d-8223-a7590fff6ece.jpg']",,2,150,"{'latitude': 36.61258881992, 'longitude': 51.609332535386}",,,,,,,,,,,,,,
gZ-hq51P,سوییت حیاط دار,temporary-rent,suite-apartment,suite-apartment,28-7-2024,سوییت حیاط دار|اجارهٔ کوتاه مدت آپارتمان و سوئیت|رامسر|خرید و فروش سوییت حیاط دار نزدیک به مرکز شهرو خیابان اصلی و نانوایی وسوپر مارکت و جنگل اربکله وساحل دریا وابگرم معدنی| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار,ramsar,,0,0,0,personal,"['https://s100.divarcdn.com/static/photo/afra/post/iQVc8NdJX4TVVnQqAp97JA/ddf8b315-6a17-4882-b942-f22dafb90a95.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/hbB_WU0DCxfOmaoNYQLUrw/c7658929-847c-4a70-803d-8eab990adf81.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/PNZu8a-HepYIKEBlIxEKuQ/50d5a404-22d9-4fa5-96fb-980f79660ac1.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/acyE649q8H6x6clbMLx1Eg/518dc0ed-b831-4378-a893-0d90f184fc9f.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/1CnEvvihhYWplmNFRvUQyA/ee0a2af5-a2ab-488e-8f02-959dd432dd70.jpg', 'https://s100.divarcdn.com/static/photo/neda/post/wlJjbKOKrCFT8Hj4PH_Stw/1035b8a6-4059-4416-9dca-7f37b369bdea.jpg', 'https://s100.divarcdn.com/static/photo/neda/post/HCWu4XuxcboAMOiikGdzow/9258d9a3-dc94-4a20-b302-fe57f2bf9182.jpg']",,0,40,,,,,,,,,,,,,,,
gZ-RoRzj,۱۴۰متر   _   ۳خواب   _    ویودار    _   باکس پونک,residential-rent,apartment-rent,apartment-rent,28-7-2024,"۱۴۰متر   _   ۳خواب   _    ویودار    _   باکس پونک|اجارهٔ آپارتمان|تهران، پونک|خرید و فروش ویودارترین واحد در منطقه (ویو ابدی تهران)
۱۴۰متر سوپر لاکچری و اکازیون 
۲ پارکینگ سندی 
۳ خواب بزرگ و استاندارد 
_______________________           
    ساختمان خوش ساخت آرشیتکت به نام      
    سالن یه تیکه با قابلیت چیدمان عالی       
     تماما آفتاب خور 
_______________________        
داری مشاعات آبی سونا و جکوزی اختصاصی 
   لابی - سالن اجتماعات - شوتینگ - کارواش   

منصوری هستم 
مشاور شما در منطقه| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار",tehran,poonak,0,2200000000,0,real-estate-business,"['https://s100.divarcdn.com/static/photo/afra/post/5B8s0hjx0ybYGv8Q5Epkrw/66bbf0a7-d9a0-4235-a2ba-44230256c87c.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/pBXCsE1vIx33W1bzNc7P_w/4d6b25cc-96e5-4eaf-a4bb-4d6a79365348.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/qKvqbqy0Yd0CREMzmLMTQQ/25e45139-b980-4006-b0e4-207513b4226d.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/l5iMUTIECCLTV0B_xbjzhw/89e24138-af95-4fe0-a8c9-908d65345cb5.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/6dJ67gDuFyTajI-SJ6l9IA/7be0f719-adb1-4b2f-9f79-a8e6062c56b1.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/jnK-lsNLK-9Rk08NzQez2Q/b356679f-0f31-46ac-8890-e5f1f63b64f3.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/9BtYaXBwo0G2LzEnuaEkLw/76173564-01c6-46b0-9499-080ded2b01d1.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/sYWSPTou8U-sBryE-9sJNA/3bb5aa57-62da-433f-b994-cd452f9243a5.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/VJg82AqxdSawgCrDl_Wnwg/5408f11d-78c6-4032-a3a3-c930f73553bf.jpg']",1397,3,140,,دارد,دارد,دارد,4,,,جنوبی,,دارد,ایرانی و فرنگی,سرامیک,اسپلیت,شوفاژ,پکیج
gZ-ZsQ-7,فروش آپارتمان در پرند,residential-sell,apartment-sell,apartment-sell,28-7-2024,"فروش آپارتمان در پرند|فروش آپارتمان|پرند|خرید و فروش عکس ها متعلق به واحد میباشد 
ملک کلید نخورده میباشد 
ملک نوساز 
۱۰۰متربا مشاعات 
۸۵متر مفید 
طبقه اول بالای همکف 
پارکینگ مسقف
فول امکانات لوکس 
پکیج رادیاتور برند
کولر آبی نو 
کابینت ام دی اف های گلاس 
کمد دیواری 
جاکفشی 
پوستر 
کنافکاری نورپردازی 
آینه و مارول 
کف پارکت 
آینه کاری 
درب ضد سرقت 
درب آکاردیونی
بهترین لوکیشن 
دسترسی عالی به امکانات رفاهی 
ایستگاه تاکسی نانوایی مرکز خرید مدرسه و…
مناسب برای شیک پسندان
قابلیت رهن تا ۲۵۰میلیون که از مبلغ کسر شده 
سرمایه گذاری باسود تضمینی 
-----------------------------
دالوند تاجران| سایت ثبت آگهی، نیازمندی و خرید و فروش دیوار",parand-city,,1420000000,0,0,personal,"['https://s100.divarcdn.com/static/photo/afra/post/vBTLDy5yGVqD-0LF5_s2gw/5fa6d0d2-2587-4b49-92e0-219fe405a825.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/8JpJyiIvrZxmuYDlr5qOig/bddd612c-0e44-4bec-a348-6deda643fd45.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/-q2edFmvSyLZn_IElQEeGg/21e57abc-5353-43fb-89f3-81c8147738bf.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/lA-V7YvirrYjFLO-D0Kyuw/ba626af5-2874-4a4f-9ad4-25ad9128630c.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/rTLU2g12iJ5wTisdO1lA1Q/0f84977d-7106-4ea3-a418-8e7d9ed19cba.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/wASBqeTAE8ayF6Gp-3UDKA/6263c156-43bf-4122-9bbe-45b01c3454ee.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/zR9-WKTWXpfxLFoDV52GOg/61f7b7b0-6a75-40e9-b783-77636dd1a5e8.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/lyNmbN-p3_vYQrUbvtieLA/34507ead-1194-4514-a6d9-2b33bf5cc712.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/W7V2N7R7renrRBUtW9jiWw/cb59689c-3baa-4824-b19b-7b0faa39d84a.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/SAPBUZ21ZvWpf2uD1Y81WA/cf2529f9-f8e6-43e1-9e24-0e93bfec1ae6.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/B0_iTPhf6M9d-_tgqEJKtA/45b313d3-c328-46c8-bafc-6d5c8eb75641.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/vbDJbw51g8a1zJN8vQHjig/7bc32ff6-03e6-4abe-8f67-54d4a0a1e7bb.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/U_WCH18f4ikA_k6CGm4S_w/8b9617ab-5572-4ba7-a5db-02af4fcaeae4.jpg', 'https://s100.divarcdn.com/static/photo/afra/post/y33bTGfDGWsCJaynE21u_w/86237a25-c43c-4304-aab5-b67d3ac7f639.jpg']",1403,2,100,,دارد,دارد,دارد,4,,تک‌برگ,جنوبی,بازسازی شده,دارد,ایرانی و فرنگی,سرامیک,کولر آبی,شوفاژ,پکیج
