token,title,rent/sell,apartment/house,category,register_data,description,province,city,district,price,credit,rent,business-type,image,build_date,room,meterage,location,elevator,parking,storage,unitpf,tabaghe,sanad,jahat,vaziat,balkon,wc,jenskaff,cooler,heater,tamin_hot_water
344824066,فروش آپارتمان 115 متر در یوسف آباد - شیپور,sell,apartment,خرید و فروش خانه و آپارتمان,,⬅️6طبقه 2واحدی   ⬅️طبقه سوم ⬅️فول امکانات   ⬅️لابی ⬅️ارتفاع سقف بلند   ⬅️متریال درجه یک ⬅️نور و نقشه عالی   ⬅️در بهترین فرعی منطقه جهان آرا   ⬅️به قیمت رسیده ⬅️,استان تهران,تهران,یوسف آباد,توافقی,,,,['https://www.sheypoor.com/imgs/2020/10/01/344824066/666x416_Sw/344824066_032770e8765fecd8c17d179bf6dd577f.webp'],,2,۱۱۵,"{'longitude': 51.404042, 'latitude': 35.733539}",دارد,دارد,دارد,,,,,,,,,,,
385217857,1600متر/بهشت گمشده تهران/سرمایه گذاری امن ملکی - شیپور,زمین و باغ,زمین و باغ,زمین و باغ,,‌***  گروه مشاورین سرو  *** ‌ ‌‌ % کلکسیونی از بهترین و متنوع ترین فایلها % ‌‌ ‌‌ ‌* منطقه سد نمرود‌ ‌* سله بن‌‌ ‌‌* دشت چزکین‌‌ * ارجمند‌ * ورسخواران‌ * اندریه,استان تهران,فیروزکوه,,,,,,"['https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_ec78d74abf4a9c1f66c8a948757d2ffa.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_556ecaad889e129a2792d3ed2734a8f9.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_82b082e7dce336010410a558898d06ad.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_fa2bfb5e27282691a45323bacf70cbcb.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_02d84480a0c5d9fc735e750fbd32fdb0.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_75187416c3ca3cba62df7551edce504c.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_41311281019e2a337716f72dee330c99.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_5b332a9a662327010e89829cd651acbd.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_0045223d28ca80e59dfec7041aefe011.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_6e48b80df73550f8f55d961383e6e980.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_454a8569c43c1cf2343203802db082c8.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_25759ca64918480c4e24fa8836e29f55.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_ff54755e00478cf877f9c3fd7aeb0f85.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_fe737108368abfa796ea03282979949d.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_0d4807c78babc34068f4d59f15a9094c.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_e7aa0985456631ff5f12607fe45ef888.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_b8f193e706e1692ca315f1a5dcedd208.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_8977fea9cc833f1ab9ab0cd10584df4c.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_82e48832935961ec20309dc78c445f83.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/385217857/666x416_Sw/385217857_b1fe0c39d41f5a8ccbc67f1b87e24cd4.webp']",,,"1,600","{'longitude': 52.7723553, 'latitude': 35.7549861}",,,,,,,,,,,,,,
395157884,آپارتمان 145 متر در امیرآباد شمالی، جانبازان - شیپور,sell,apartment,خرید و فروش خانه و آپارتمان,,نوع سند: شخصی تعداد طبقات: 6 تعداد واحد در طبقه: 2 وضعیت سکونت: تخلیه موقعیت جغرافیایی بنا: جنوبی موقعیت جغرافیایی واحد: جنوبی تعداد پارکینگ: ۱ طبقه ملک: 3  ●,استان تهران,تهران,امیرآباد,توافقی,,,,['https://cdn.sheypoor.com/imgs/2023/08/31/395157884/666x416_Sw/395157884_df0f8d8b8f3fb808672a94f07350c4f6.webp'],1402,3,۱۴۵,"{'longitude': 51.389944, 'latitude': 35.732336}",دارد,دارد,دارد,,,,,,,,,,,
395487760,1200متر/راه اختصاصی/درختان میوه مثمر/محصور شده/ویو ابدی - شیپور,زمین و باغ,زمین و باغ,زمین و باغ,,‌***  گروه مشاورین سرو  *** ‌ ‌‌ % کلکسیونی از بهترین و متنوع ترین فایلها % ‌‌ ‌‌ ‌* منطقه سد نمرود‌ ‌* سله بن‌‌ ‌‌* دشت چزکین‌‌ * ارجمند‌ * ورسخواران‌ * اندریه,استان تهران,آبسرد,,,,,,"['https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_5c579462cff44ce2f09edf0765357c35.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_ff33230fee6fef9462863377d5f0b1db.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_1a32edc8292b87c83df0a21892d52e4e.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_f5b85e0de4945596c93469b4c8539f40.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_cdffe780febd61ad408e98cd0d0fd3cf.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_441f71936f010abbc0302060bed59c8f.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_2b02004ebb9358c8901d7da796c287d6.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_e91cfdc49cfa304ef55b1190bae294c5.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_941789bff80e3c51e39a1178cbfd2caf.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_34eb4e66d2df2f736ab3f28acb6b99d8.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_290e7c1193d7f704477c3df61dd98e02.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_ad970536067ecfb6af25cbea23622c2f.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_26cd0bee569674f35870568d228f41ab.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_a3db9f3d6c8917b10ff9469fb5623d99.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_421bad5100fac0c48e3131a040e4820e.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_85a13eb4146a7b461f5ff9bb62b2aaa2.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_1fe91bb5cd5c993cfe888da225bf5e22.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_a8286913b9d4a16fe9e05c5506eae9cd.webp', 'https://cdn.sheypoor.com/imgs/2023/09/16/395487760/666x416_Sw/395487760_b6b605a3dddd4f1472772680a47d1ce0.webp']",,,"1,200","{'longitude': 52.165658, 'latitude': 35.630136}",,,,,,,,,,,,,,
399100288,فروش ویلا باغ 750 متری در روستای نزدیک رودسر - شیپور,sell,house,خرید و فروش ویلا,,کدفایل1597 فروش ویلا باغ با ویو ابدی باغ چای و کوه گیلان رودسر (روستای همجوار و کاملا نزدیک شهر رودسر) فاصله با میدان اصلی شهر رودسر 10دقیقه با ماشین  متراژ ,گیلان,رودسر,,4800000000,,,,"['https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_6803cdad326efa08f98c396fd03fac14.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_c279cc35ee4e6feb333f7c9955d7f085.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_f47b2b6697209c42abda925d2da876df.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_8ab55aa66e34cf46f106dd199c4df438.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_a8e9a4aa4912431b138265a85973e926.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_cf89a1d23630e73ea87f986de890e8db.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_0da714e3c428e9fbcea2ba4122e2f876.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_ebfc9a99784f2e741555f6834a326f75.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_7799afec9b210c6e0f8c59b2b697ba80.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_1aba43c0d44747bf0d9fd121b4d64289.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_991f17f40b4a1625a96674798eb2e392.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_39b83bbdf2a50fd22cffb4ec8a61dd22.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_f552483134e182964aff1a5a2bec985c.webp', 'https://cdn.sheypoor.com/imgs/2022/10/27/399100288/666x416_Sw/399100288_d38785f052e693b2949a39cd902a1ff8.webp']",1387,3,750,"{'longitude': 50.2836199, 'latitude': 37.1378415}",,دارد,دارد,,,,,,,,,,,
400831639,2800 متر/منطقه نمونه گردشگری سله بن/نزدیک به بافت مسکونی - شیپور,زمین و باغ,زمین و باغ,زمین و باغ,,***  گروه مشاورین سرو  ***   % کلکسیونی از بهترین و متنوع ترین فایلها %  * سد نم رود * سله بن  * 2800 متر مربع * مدارک کامل * راه اختصاصی  * دید عالی * خوش ,استان تهران,فیروزکوه,,,,,,"['https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_0edf1b18a9b76044675edea8eb6397c5.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_631a81b91fb5eafd3a567da412b1e75e.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_465a28f8579b65db6625b405940e5bc6.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_c64b89c44e690d1beda15330c31b3741.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_8dfcb4f353771c77d4125d2433124e78.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_50039b3fceb08c0e8f1df19a5553b392.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_855bc4038b8833b9af3afc010163cbda.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_fcf8125dbf7ffa8180cc8df60e8edca1.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_935e9ae08cbc78a1674b7c8af2883211.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_1f9329a25bef311ef2ede23aa86d10e9.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_21943c8a4fe1af4edd6d08ca6a51a21b.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_4d2540201ef68218686436e2838542d2.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_54c8865f784e0191438311327923e914.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_3f7644d40273d256e6537a901f464a29.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_b415c2ccab7ac5eded537921cbcea8ba.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_57fb4e22676c35ae98b0379611e6a59f.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_7f43800a23a2eb53e77386b1ae009ca5.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_db49ce1cdb23ce12cc67e1ac13354db4.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_8f7e9f35974dd38fee6dcdb6cb53b72d.webp', 'https://cdn.sheypoor.com/imgs/2023/11/07/400831639/666x416_Sw/400831639_9d52dacb1e703e5cd2efaef0446cffd8.webp']",,,"۲,۸۰۰","{'longitude': 52.7723553, 'latitude': 35.7549861}",,,,,,,,,,,,,,
401246836,منطقه نمونه گردشگری/4500متر/جنب بافت/دید ابدی کوهستان - شیپور,زمین و باغ,زمین و باغ,زمین و باغ,,‌***  گروه مشاورین سرو  *** ‌ ‌‌ % کلکسیونی از بهترین و متنوع ترین فایلها % ‌‌ ‌‌ ‌* منطقه سد نمرود‌ ‌* سله بن‌‌ ‌‌* دشت چزکین‌‌ * ارجمند‌ * ورسخواران‌ * اندریه,استان تهران,دماوند,,,,,,"['https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_e605dd96fbef0965e905cdbd160ae958.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_34a49bba11ee327c74c927e7ae62c1eb.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_f60c21f2845d4c3fcc8f3d880777519b.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_d8aa4bec582ed5c4ba4b778e478bd0d7.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_bc556b5539d0241792b2b0a293401245.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_431d98bb8e0a3ebcefd59d84331d38f7.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_0c2dad52877256f23c4aa2688a0834d8.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_29ff4f159cb60920ae1ad44462734327.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_a89df04704fb0f0e707f05f37a0bdcc4.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_c888241e10271b9df5d94cceddb0960e.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_7dd1cf25690efcd17ebea0ce56d6e12d.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_24405310bee91dc2c6f0a248b09da896.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_41eb6c5b9fb6c9e9f220821c92f6d8e8.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_8a9acefa82661232332ca7e30adf4042.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_3657a7fed7d4b2751c741203b1a53d16.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_e59a0a3d21201f6cadf43b30b8583fb5.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_646510c5e79a8d5b9f807fea8517ab84.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_3a9ce58e486750fd158a7dec584f240e.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_6e5867133523f85e5efd009b0f178deb.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/401246836/666x416_Sw/401246836_962995ba1e0da596bf798b30b45e0920.webp']",,,"۴,۵۰۰","{'longitude': 52.0586252, 'latitude': 35.7013041}",,,,,,,,,,,,,,
407756737,سله بن/1500متر/بهشت گمشده تهران/راه اختصاصی/سد نمرود - شیپور,زمین و باغ,زمین و باغ,زمین و باغ,,‌***  گروه مشاورین سرو  *** ‌ ‌‌ % کلکسیونی از بهترین و متنوع ترین فایلها % ‌‌ ‌‌ ‌* منطقه سد نمرود‌ ‌* سله بن‌‌ ‌‌* دشت چزکین‌‌ * ارجمند‌ * ورسخواران‌ * اندریه,استان تهران,فیروزکوه,,,,,,"['https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_7dee4f46e33ed5e30949f57ec833cbe8.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_c326a253a9eb22262ac8368efbb6457b.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_a9334c5e0cefdbe7a664a9621bdf3894.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_01826e9d40256fdb71f1f775608e86d3.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_4a2689073b161cd8a2e9d3501d88cb63.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_d3423a77135787a51f17c0e4bbd46cf3.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_84e75ceb050123fc0b4aa14b30ed0d05.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_b84aec590217aa442409a41916964788.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_990f6aaf341b501d8b46fc38c0dbe53d.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_387dab60281c8352c073408d62efefb1.webp', 'https://cdn.sheypoor.com/imgs/2022/04/24/407756737/666x416_Sw/407756737_9195c43afb3d18dc999c2553d6f7cd67.webp']",,,"1,500","{'longitude': 52.7723553, 'latitude': 35.7549861}",,,,,,,,,,,,,,
407756881,منطقه نمونه گردشگری/4500متر/جنب بافت/دید ابدی کوهستان - شیپور,زمین و باغ,زمین و باغ,زمین و باغ,,‌***  گروه مشاورین سرو  *** ‌ ‌‌ % کلکسیونی از بهترین و متنوع ترین فایلها % ‌‌ ‌‌ ‌* منطقه سد نمرود‌ ‌* سله بن‌‌ ‌‌* دشت چزکین‌‌ * ارجمند‌ * ورسخواران‌ * اندریه,استان تهران,آبسرد,,,,,,"['https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_faa26ba5320a3b58cec24164cf138c64.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_0922c96c2356c70ac47d2b9d227c1cc9.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_8b9f4f0f43ac6b16815642d2981e72bf.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_9715a019481d01991e5d1cdb4901f243.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_d8852194bd9ef5787f4fb8c8629518ac.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_2bb52b73537124d4d9ca124c537988de.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_30d10b7c435b8b12d6c33965b1c617ae.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_462d1a3d36d0b90ab520ee9bf87b9443.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_64e3d1c16d14cf966fd7574c33ead357.webp', 'https://cdn.sheypoor.com/imgs/2022/11/22/407756881/666x416_Sw/407756881_b8d440dba43fd55fbe14e1a8233e998a.webp']",,,"۲,۸۰۰","{'longitude': 52.165658, 'latitude': 35.630136}",,,,,,,,,,,,,,
407757416,بهشت گمشده تهران/3000 متر سندار/راه اختصاصی/محصور شده - شیپور,زمین و باغ,زمین و باغ,زمین و باغ,,‌***  گروه مشاورین سرو  *** ‌ ‌‌ % کلکسیونی از بهترین و متنوع ترین فایلها % ‌‌ ‌‌ ‌* منطقه سد نمرود‌ ‌* سله بن‌‌ ‌‌* دشت چزکین‌‌ * ارجمند‌ * ورسخواران‌ * اندریه,استان تهران,دماوند,,,,,,"['https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_90f4b33c524f09c61d01776f2d8f799e.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_b5b4be4f00631339db07ae8fb281a7f1.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_9a753db541497ada1c05d1dbd90d4fd1.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_fe332a9c231417d248d818cd22aaf4ee.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_40c3b98a7493ea10f7f5a05516d02ceb.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_114925d3e552c2e19a7b3370c35f7bf1.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_ddec1c92e1ead6a707513728031b3c49.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_4bdc96179963e7adf495d495567a823f.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_f220637f4e93a6df809b5739716d655b.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_ab9fc5e6123337e45cad490d8f9f8038.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_e54c22e1205bdcff26184aa300a927ae.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_b437648ce6e5fe8aea3655227ac874db.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_c410caf4beef8efcb95265c41f6482de.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_08c7d91d160679a336dc1d744576247c.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_9d2af1d4bf2cb052549df7d6ced2c4b1.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_fb9387cda9b019efe675cd9ec362171f.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_b6f8d0acf1e43c6fa193fde7fd905ded.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_733979cf8f404942adb7abfbbd543abf.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_f9d50c1af7d4c7bd335829b9ee436854.webp', 'https://cdn.sheypoor.com/imgs/2023/04/29/407757416/666x416_Sw/407757416_a0ebd86551e0a9d41b0665c610c77e78.webp']",,,"۳,۰۰۰","{'longitude': 52.0586252, 'latitude': 35.7013041}",,,,,,,,,,,,,,
